T,C1 Relaxation,C2 Relaxation,C3 Relaxation,C4 Relaxation,Diffusion Constant,Average bond fraction,Local Order,Global Order,Circle Order,contacts,neighbours,pairing,Density,Total Energy,Packing Fraction
0.2,0,0,0,0,0.0001,0.9940,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.4183,0.7788,0.9241
0.5,0,0,0,0,0.0012,0.9968,1.0000,1.0000,0.9821,0.9000,0.5000,0.1671,0.4156,0.8923,0.9183
0.8,0,0,0,0,0.0014,0.9998,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.4136,1.0429,0.9137
1.0,0,0,0,0,0.0011,1.0020,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.4117,1.0941,0.9096
1.3,0,0,0,0,0.0019,1.0049,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.4095,1.2753,0.9046
1.6,0,0,0,0,0.0028,1.0090,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.4061,1.4028,0.8973
2.0,0,0,0,0,0.0027,1.0132,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.4028,1.5919,0.8899
2.3,0,0,0,0,0.0054,1.0165,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.4003,1.8201,0.8843
2.6,0,0,0,0,0.0050,1.0211,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.3968,2.0314,0.8767
2.8,0,0,0,0,0.0054,1.0235,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.3950,2.0312,0.8726
2.9,0,0,0,0,0.0058,1.0244,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.3942,2.1981,0.8710
3.0,0,0,0,0,0.0079,1.0266,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.3926,2.2137,0.8673
3.05,0,0,0,0,0.0065,1.0270,1.0000,1.0000,1.0000,1.0000,0.6000,0.1667,0.3923,2.3006,0.8667
3.1,0,0,0,0,0.0133,1.0251,0.9936,0.9916,0.9613,0.9000,0.5000,0.1667,0.3931,2.3959,0.8684
3.15,0,0,0,0,0.0432,1.0263,0.9595,0.9360,0.9345,0.9000,0.5000,0.1658,0.3918,2.2756,0.8657
3.2,0,0,0,0,0.7415,1.0264,0.7181,0.5946,0.4924,0.9000,0.5000,0.1597,0.3821,2.5328,0.8443
3.3,0.319596,0.409482,0.329583,0.329583,0.8117,1.0277,0.5279,0.5002,0.2057,0.8000,0.5000,0.1545,0.3765,2.5979,0.8318
3.5,0.33957,0.429456,0.309608,0.249684,0.8029,1.0295,0.5195,0.5009,0.1690,0.8000,0.5000,0.1540,0.3739,2.7445,0.8260
4.0,0.169785,0.0798989,0.169785,0.0599242,0.8316,1.0349,0.5229,0.5000,0.1524,0.8000,0.5000,0.1525,0.3683,3.0709,0.8137
4.5,0.179771,0.0499365,0.179771,0.0499365,0.8087,1.0406,0.5201,0.5002,0.1220,0.8000,0.5000,0.1510,0.3626,3.5767,0.8011
5.0,0.169785,0.0399495,0.0898863,0.0199747,0.8361,1.0437,0.5137,0.5001,0.1260,0.7000,0.5000,0.1506,0.3589,3.9254,0.7929
